X,M
641,9061
642,8970
643,8878
644,8787
645,8695
646,8603
647,8511
648,8419
649,8327
650,8234
651,8142
652,8049
653,7956
654,7863
655,7769
656,7676
657,7583
658,7489
659,7395
660,7301
661,7207
662,7113
663,7019
664,6924
665,6830
666,6735
667,6640
668,6545
669,6450
670,6355
671,6260
672,6164
673,6069
674,5973
675,5877
676,5781
677,5686
678,5589
679,5493
680,5397
681,5301
682,5204
683,5108
684,5011
685,4914
686,4817
687,4721
688,4624
689,4526
690,4429
691,4332
692,4235
693,4137
694,4040
695,3942
696,3845
697,3747
698,3649
699,3551
700,3453
701,3355
702,3257
703,3159
704,3061
705,2963
706,2865
707,2766
708,2668
709,2570
710,2471
711,2373
712,2274
713,2176
714,2077
715,1978
716,1880
717,1781
718,1682
719,1583
720,1485
721,1386
722,1287
723,1188
724,1089
725,990
726,891
727,792
728,693
729,594
730,495
731,396
732,297
733,198
734,99
735,0
736,-99
737,-198
738,-297
739,-396
740,-495
741,-594
742,-693
743,-792
744,-891
745,-990
746,-1089
747,-1188
748,-1287
749,-1386
750,-1485
751,-1583
752,-1682
753,-1781
754,-1880
755,-1978
756,-2077
757,-2176
758,-2274
759,-2373
760,-2471
761,-2570
762,-2668
763,-2766
764,-2865
765,-2963
766,-3061
767,-3159
768,-3257
769,-3355
770,-3453
771,-3551
772,-3649
773,-3747
774,-3845
775,-3942
776,-4040
777,-4137
778,-4235
779,-4332
780,-4429
781,-4526
782,-4624
783,-4721
784,-4817
785,-4914
786,-5011
787,-5108
788,-5204
789,-5301
790,-5397
791,-5493
792,-5589
793,-5686
794,-5781
795,-5877
796,-5973
797,-6069
798,-6164
799,-6260
800,-6355
801,-6450
802,-6545
803,-6640
804,-6735
805,-6830
806,-6924
807,-7019
808,-7113
809,-7207
810,-7301
811,-7395
812,-7489
813,-7583
814,-7676
815,-7769
816,-7863
817,-7956
818,-8049
819,-8142
820,-8234
821,-8327
822,-8419
823,-8511
824,-8603
825,-8695
826,-8787
827,-8878
828,-8970
829,-9061
830,-9152
831,-9243
832,-9334
833,-9424
834,-9515
835,-9605
836,-9695
837,-9785
838,-9875
839,-9964
840,-10053
841,-10142
842,-10231
843,-10320
844,-10409
845,-10497
846,-10585
847,-10673
848,-10761
849,-10849
850,-10936
851,-11023
852,-11110
853,-11197
854,-11284
855,-11370
856,-11456
857,-11542
858,-11628
859,-11714
860,-11799
861,-11884
862,-11969
863,-12054
864,-12138
865,-12222
866,-12307
867,-12390
868,-12474
869,-12557
870,-12640
871,-12723
872,-12806
873,-12888
874,-12970
875,-13052
876,-13134
877,-13216
878,-13297
879,-13378
880,-13459
881,-13539
882,-13619
883,-13699
884,-13779
885,-13859
886,-13938
887,-14017
888,-14096
889,-14174
890,-14252
891,-14330
892,-14408
893,-14485
894,-14562
895,-14639
896,-14716
897,-14792
898,-14868
899,-14944
900,-15020
901,-15095
902,-15170
903,-15245
904,-15319
905,-15393
906,-15467
907,-15541
908,-15614
909,-15687
910,-15760
911,-15832
912,-15905
913,-15976
914,-16048
915,-16119
916,-16190
917,-16261
918,-16331
919,-16402
920,-16471
921,-16541
922,-16610
923,-16679
924,-16748
925,-16816
926,-16884
927,-16952
928,-17019
929,-17086
930,-17153
931,-17219
932,-17285
933,-17351
934,-17416
935,-17482
936,-17546
937,-17611
938,-17675
939,-17739
940,-17803
941,-17866
942,-17929
943,-17991
944,-18054
945,-18115
946,-18177
947,-18238
948,-18299
949,-18360
950,-18420
951,-18480
952,-18540
953,-18599
954,-18658
955,-18716
956,-18774
957,-18832
958,-18890
959,-18947
960,-19004
961,-19060
962,-19116
963,-19172
964,-19228
965,-19283
966,-19338
967,-19392
968,-19446
969,-19500
970,-19553
971,-19606
972,-19658
973,-19711
974,-19763
975,-19814
976,-19865
977,-19916
978,-19967
979,-20017
980,-20066
981,-20116
982,-20165
983,-20213
984,-20261
985,-20309
986,-20357
987,-20404
988,-20451
989,-20497
990,-20543
991,-20589
992,-20634
993,-20679
994,-20723
995,-20767
996,-20811
997,-20854
998,-20897
999,-20940
1000,-20982
1001,-21024
1002,-21065
1003,-21107
1004,-21147
1005,-21187
1006,-21227
1007,-21267
1008,-21306
1009,-21345
1010,-21383
1011,-21421
1012,-21459
1013,-21496
1014,-21532
1015,-21569
1016,-21605
1017,-21640
1018,-21676
1019,-21710
1020,-21745
1021,-21779
1022,-21812
1023,-21846
1024,-21878
1025,-21911
1026,-21943
1027,-21975
1028,-22006
1029,-22037
1030,-22067
1031,-22097
1032,-22127
1033,-22156
1034,-22184
1035,-22213
1036,-22241
1037,-22268
1038,-22296
1039,-22322
1040,-22349
1041,-22375
1042,-22400
1043,-22425
1044,-22450
1045,-22474
1046,-22498
1047,-22522
1048,-22545
1049,-22567
1050,-22590
1051,-22611
1052,-22633
1053,-22654
1054,-22674
1055,-22695
1056,-22714
1057,-22734
1058,-22753
1059,-22771
1060,-22789
1061,-22807
1062,-22824
1063,-22841
1064,-22858
1065,-22874
1066,-22889
1067,-22904
1068,-22919
1069,-22933
1070,-22947
1071,-22961
1072,-22974
1073,-22987
1074,-22999
1075,-23011
1076,-23022
1077,-23033
1078,-23044
1079,-23054
1080,-23063
1081,-23073
1082,-23082
1083,-23090
1084,-23098
1085,-23106
1086,-23113
1087,-23120
1088,-23126
1089,-23132
1090,-23138
1091,-23143
1092,-23147
1093,-23151
1094,-23155
1095,-23159
1096,-23162
1097,-23164
1098,-23166
1099,-23168
1100,-23169
1101,-23170
1102,-23171
1103,-23171
1104,-23170
1105,-23169
1106,-23168
1107,-23166
1108,-23164
1109,-23162
1110,-23159
1111,-23155
1112,-23151
1113,-23147
1114,-23143
1115,-23138
1116,-23132
1117,-23126
1118,-23120
1119,-23113
1120,-23106
1121,-23098
1122,-23090
1123,-23082
1124,-23073
1125,-23063
1126,-23054
1127,-23044
1128,-23033
1129,-23022
1130,-23011
1131,-22999
1132,-22987
1133,-22974
1134,-22961
1135,-22947
1136,-22933
1137,-22919
1138,-22904
1139,-22889
1140,-22874
1141,-22858
1142,-22841
1143,-22824
1144,-22807
1145,-22789
1146,-22771
1147,-22753
1148,-22734
1149,-22714
1150,-22695
1151,-22674
1152,-22654
1153,-22633
1154,-22611
1155,-22590
1156,-22567
1157,-22545
1158,-22522
1159,-22498
1160,-22474
1161,-22450
1162,-22425
1163,-22400
1164,-22375
1165,-22349
1166,-22322
1167,-22296
1168,-22268
1169,-22241
1170,-22213
1171,-22184
1172,-22156
1173,-22127
1174,-22097
1175,-22067
1176,-22037
1177,-22006
1178,-21975
1179,-21943
1180,-21911
1181,-21878
1182,-21846
1183,-21812
1184,-21779
1185,-21745
1186,-21710
1187,-21676
1188,-21640
1189,-21605
1190,-21569
1191,-21532
1192,-21496
1193,-21459
1194,-21421
1195,-21383
1196,-21345
1197,-21306
1198,-21267
1199,-21227
1200,-21187
1201,-21147
1202,-21107
1203,-21065
1204,-21024
1205,-20982
1206,-20940
1207,-20897
1208,-20854
1209,-20811
1210,-20767
1211,-20723
1212,-20679
1213,-20634
1214,-20589
1215,-20543
1216,-20497
1217,-20451
1218,-20404
1219,-20357
1220,-20309
1221,-20261
1222,-20213
1223,-20165
1224,-20116
1225,-20066
1226,-20017
1227,-19967
1228,-19916
1229,-19865
1230,-19814
1231,-19763
1232,-19711
1233,-19658
1234,-19606
1235,-19553
1236,-19500
1237,-19446
1238,-19392
1239,-19338
1240,-19283
1241,-19228
1242,-19172
1243,-19116
1244,-19060
1245,-19004
1246,-18947
1247,-18890
1248,-18832
1249,-18774
1250,-18716
1251,-18658
1252,-18599
1253,-18540
1254,-18480
1255,-18420
1256,-18360
1257,-18299
1258,-18238
1259,-18177
1260,-18115
1261,-18054
1262,-17991
1263,-17929
1264,-17866
1265,-17803
1266,-17739
1267,-17675
1268,-17611
1269,-17546
1270,-17482
1271,-17416
1272,-17351
1273,-17285
1274,-17219
1275,-17153
1276,-17086
1277,-17019
1278,-16952
1279,-16884
1280,-16816
1281,-16748
1282,-16679
1283,-16610
1284,-16541
1285,-16471
1286,-16402
1287,-16331
1288,-16261
1289,-16190
1290,-16119
1291,-16048
1292,-15976
1293,-15905
1294,-15832
1295,-15760
1296,-15687
1297,-15614
1298,-15541
1299,-15467
1300,-15393
1301,-15319
1302,-15245
1303,-15170
1304,-15095
1305,-15020
1306,-14944
1307,-14868
1308,-14792
1309,-14716
1310,-14639
1311,-14562
1312,-14485
1313,-14408
1314,-14330
1315,-14252
1316,-14174
1317,-14096
1318,-14017
1319,-13938
1320,-13859
1321,-13779
1322,-13699
1323,-13619
1324,-13539
1325,-13459
1326,-13378
1327,-13297
1328,-13216
1329,-13134
1330,-13052
1331,-12970
1332,-12888
1333,-12806
1334,-12723
1335,-12640
1336,-12557
1337,-12474
1338,-12390
1339,-12307
1340,-12222
1341,-12138
1342,-12054
1343,-11969
1344,-11884
1345,-11799
1346,-11714
1347,-11628
1348,-11542
1349,-11456
1350,-11370
1351,-11284
1352,-11197
1353,-11110
1354,-11023
1355,-10936
1356,-10849
1357,-10761
1358,-10673
1359,-10585
1360,-10497
1361,-10409
1362,-10320
1363,-10231
1364,-10142
1365,-10053
1366,-9964
1367,-9875
1368,-9785
1369,-9695
1370,-9605
1371,-9515
1372,-9424
1373,-9334
1374,-9243
1375,-9152
1376,-9061
1377,-8970
1378,-8878
1379,-8787
1380,-8695
1381,-8603
1382,-8511
1383,-8419
1384,-8327
1385,-8234
1386,-8142
1387,-8049
1388,-7956
1389,-7863
1390,-7769
1391,-7676
1392,-7583
1393,-7489
1394,-7395
